PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
179,0.144363,0.0386,0.038217,0.00590206,0.149979,480,0.24338,0.33164,,8.67781,1.30149,56.1905
180,0.328098,0.0386,0.0211033,0.00590206,0.0828181,480,0.24338,0.33164,,15.7151,1.30149,56.1905
181,0.140752,0.0386,0.0225355,0.00590206,0.0884387,480,0.24338,0.33164,,14.7163,1.30149,56.1905
182,0.0876568,0.0386,0.0153394,0.00590206,0.0601981,480,0.24338,0.33164,,21.6202,1.30149,56.1905
183,0.278777,0.0386,0.0122637,0.00590206,0.0481277,480,0.24338,0.33164,,27.0425,1.30149,56.1905
184,0.173438,0.0386,0.017284,0.00590206,0.0678297,480,0.24338,0.33164,,19.1877,1.30149,56.1905
185,0.188688,0.0386,0.0169445,0.00590206,0.0664974,480,0.24338,0.33164,,19.5721,1.30149,56.1905
186,0.140627,0.0386,0.0179927,0.00590206,0.0706109,480,0.24338,0.33164,,18.4319,1.30149,56.1905
187,0.377449,0.0386,0.0363142,0.00590206,0.142512,480,0.24338,0.33164,,9.1325,1.30149,56.1905
188,0.209657,0.0386,0.0751313,0.00590206,0.294847,480,0.24338,0.33164,,4.41413,1.30149,56.1905
189,0.180665,0.0386,0.055254,0.00590206,0.21684,480,0.24338,0.33164,,6.00209,1.30149,56.1905
190,0.0387152,0.0386,0.07583,0.00590206,0.297589,480,0.24338,0.33164,,4.37346,1.30149,56.1905
191,0.371163,0.0386,0.449951,0.00590206,1.7658,480,0.24338,0.33164,,0.737056,1.30149,56.1905
192,0.386363,0.0386,0.0329638,0.00590206,0.129364,480,0.24338,0.33164,,10.0607,1.30149,56.1905
193,0.103945,0.0386,0.00433846,0.00590206,0.0170259,480,0.24338,0.33164,,76.4419,1.30149,56.1905
194,0.528307,0.0386,0.0349575,0.00590206,0.137188,480,0.24338,0.33164,,9.48694,1.30149,56.1905
